Adelaide,ADL	
Albany,ALH	
Albury,ABX	
Alice Springs,ASP	
Ayers Rock,AYQ	
Ayr,AYR	
Ballina,BNK	
Bamaga,ABM	
Blackwater,BLT	
Bowen,ZBO	
Brampton Island,BMP	
Brisbane,BNE	
Broken Hill,BHQ	
Broome,BME	
Bundaberg,BDB	
Burnie (Wynyard),BWT	
Cairns,CNS	
Canberra,CBR	
Carnarvon,CVQ	
Casino,CSI	
Ceduna,CED	
Cessnock,CES	
Charters Towers,CXT	
Clermont,CMQ	
Coffs Harbour,CFS	
Collinsville,KCE	
Coober Pedy,CPD	
Cooktown,CTN	
Coolangatta - Gold Coast,OOL	
Cooma,OOM	
Dalby,DBY	
Darwin,DRW	
Daydream Island,DDI	
Derby,DRB	
Dubbo,DBO	
Dunk Iceland,DKI	
Dysart,DYA	
Emerald,EDR	
Emerald,EMD	
Esperance,EPR	
Geelong,GEX	
Geraldton,GET	
Gladstone,GLT	
Goondiwindi,GOO	
Gove (Nhulunbuy),GOV	
Great Keppel Island,GKL	
Griffith,GFF	
Groote Eyeland,GTE	
Groote Eylandt,GTI	
Gympie,GYP	
Hamilton,HLT	
Hamilton Island,HTI	
Hayman Island,HIS	
Hervey Bay,HVB	
Hinchinbrook Island,HNK	
Hobart,HBA	
Home Hill,HMH	
Honiara,HIR	
Ingham,IGH	
Innisfail,IFL	
Kalgoorlie,KGI	
Karratha,KTA	
Karumba,KRB	
Katherine,KTR	
Kingscote,KGC	
Kowanyama,KWM	
Kununurra,KNX	
Launceston,LST	
Laverton,LVO	
Learmouth (Exmouth),LEA	
Leinster,LER	
Leonora,LNO	
Lindeman Island,LDC	
Lismore,LSY	
Lizard Island,LZR	
Lockhart River,IRG	
Longreach,LRE	
Mackay,MKY	
Maitland,MTL	
Maryborough,MBH	
Meekatharra,MKR	
Melbourne - Tullamarine,MEL	
Merimbula,MIM	
Middlemount,MMM	
Mildura,MQL	
Moranbah,MOV	
Moree,MRZ	
Mount Gambier,MGB	
Mount Isa,ISA	
Mount Magnet,MMG	
Narrabri,NAA	
Narrandera,NRA	
Newcastle - Belmont,BEO	
Newcastle - Williamtown,NTL	
Newman,ZNE	
Noosa,NSA	
Norfolk Island,NLK	
Olympic Dam,OLP	
Orange,OAG	
Orpheus Island,ORS	
Paraburdoo,PBO	
Perth International,PER	
Port Augusta,PUG	
Port Hedland,PHE	
Port Lincoln,PLO	
Port Macquarie,PQQ	
Portland,PTJ	
Prosperpine,PPP	
Queenstown,UEE	
Rockhampton,ROK	
Scone,NSO	
Shute Harbour,JHQ	
Singleton,SIX	
South Molle Island,SOI	
Streaky Bay,KBY	
Sunshine Coast,MCY	
Sydney - Kingsford Smith,SYD	
Tamworth,TMW	
Taree,TRO	
Temora,TEM	
Tennant Creek,TCA	
Thursday Island,TIS	
Tom Price,TPR	
Toowoomba,TWB	
Townsville,TSV	
Wagga,WGA	
Warrnambool,WMB	
Weipa,WEI	
Whitsunday Resort,HAP	
Whyalla,WYA	
Wickham,WHM	
Wiluna,WUN	
Wollongong,WOL	
Woomera,UMR	
Wyndham,WYN	
